Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],lactose [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L],Ammonium [g/L]
DDB_PD_121_AMBR_R05__S01,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S01,12.0370181,7.0,15.46,8.1075302613343,0.784743619438075,0.180055973568254,0.115675155191772,0.6610295913797499,0.2529346665214055,0.0,9.888320161923701,0.0,0.091907747156788,5.599999999999827,5.400000000000071,5.800000000000027,
DDB_PD_121_AMBR_R05__S02,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S02,14.84236789,5.0,36.575,0.0,0.3009748300044645,0.1994647233663495,0.0,0.0,0.0,0.0,10.3229855156035,0.0,0.06522102446998,10.89999999999991,10.79999999999992,10.599999999999943,
DDB_PD_121_AMBR_R05__S03,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S03,34.87776925,5.5,97.25,0.0,0.0,0.2165149503770985,0.0,0.0,0.0,0.0,10.3357527779316,0.0,0.0391471376531967,21.714285714285545,26.571428571428818,23.571428571428513,
DDB_PD_121_AMBR_R05__S04,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S04,54.87780861,5.5,186.6,0.0,0.0313583158469516,0.0,0.12526464092439352,0.0,0.0,0.0,7.395321890143601,0.0,0.0756338043074505,54.09999999999982,54.79999999999996,53.599999999999866,
DDB_PD_121_AMBR_R05__S05,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R05_Main_,R05,S05,74.87903703,7.5,337.2,0.0,0.105801430256004,0.0,0.0,0.0,0.0,0.0,3.451482746346815,0.0,0.615143392507535,93.30000000000015,93.49999999999991,93.50000000000014,0.7606785911982129
DDB_PD_121_AMBR_R06__S01,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R06_Main_,R06,S01,12.08423122,7.0,17.28,9.4513409613732,0.90333763681316,0.2118118581730145,0.0,0.76271008314463,0.309767297580068,0.0,11.3979358318998,0.0,0.105631986529562,6.699999999999928,5.900000000000016,6.299999999999972,
DDB_PD_121_AMBR_R06__S02,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R06_Main_,R06,S02,14.75291844,5.0,40.675,0.0,0.3422646585691475,0.2389998570057175,0.0,0.0,0.0,0.0,11.588665508639199,0.0,0.074028880665178,11.200000000000099,10.89999999999991,10.700000000000154,
DDB_PD_121_AMBR_R06__S03,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R06_Main_,R06,S03,34.79344921,5.5,91.9,0.0,0.0,0.21838487413696,0.0,0.0,0.0,0.0,10.6050197987384,0.0,0.0,22.28571428571437,26.857142857142755,26.857142857142755,
DDB_PD_121_AMBR_R06__S04,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R06_Main_,R06,S04,54.79584063,5.5,183.3,0.0,0.0648957539233415,0.0,0.15838639108650102,0.0,0.122351543293378,0.0,7.64456344802665,0.0,0.1875174110038945,50.30000000000001,53.09999999999992,53.300000000000125,
DDB_PD_121_AMBR_R06__S05,DDB_PD_121_AMBR,DDB_PD_121_AMBR_DDB35-006_R06_Main_,R06,S05,74.79376051,7.5,309.8,0.0,0.1022940343434675,0.0,0.0,0.0,0.224656184921347,0.0,3.818365234976215,0.0,0.6902097733396451,94.09999999999985,87.90000000000009,91.70000000000012,0.953044428399715
DDB_PD_121_AMBR_R07__S01,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S01,12.02959624,7.0,11.9,9.359619914577701,0.73766046495659,0.134920681113186,0.118723245001769,0.590900571605785,0.200074666832408,0.0,9.9458487298275,0.0,0.0618072813148515,5.599999999999827,4.7000000000001485,5.300000000000082,
DDB_PD_121_AMBR_R07__S02,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S02,15.54983236,5.0,35.65,0.0,0.14445686695638751,0.2336788712428205,0.12286751590709451,0.0,0.0,0.0,11.35141958317485,0.0,0.0838861449643935,10.499999999999954,10.299999999999976,10.099999999999998,
DDB_PD_121_AMBR_R07__S03,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S03,35.59032575,5.5,65.8,0.0,0.0,0.200987402233295,0.0,0.0,0.0,0.0,10.522604198989951,0.0,0.0,25.714285714285737,25.714285714285737,20.999999999999908,
DDB_PD_121_AMBR_R07__S04,DDB_PD_121_AMBR,DDB_PD_121_AMBR_SDT173-002_R07_Main_,R07,S04,55.59317061,5.5,147.2,0.0,0.0,0.2150413107217975,0.0,0.0,0.0,0.0,7.83943937581285,0.0,0.0,51.20000000000013,49.79999999999984,48.89999999999994,
